Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,4,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,2,4,24,0,HIT_WALL,false,0,5,1,0,0,,,0,0,-10
5,2,4,24,0,FIXED_CAR,false,0,3,1,0,0,,,0,0,-10
6,2,4,27,3,HIT_MUD,false,0,4,1,0,0,,,0,0,-13
7,2,4,30,3,ACCELERATING,false,0,4,1,0,0,,,0,0,-13
8,2,4,33,3,ACCELERATING,false,0,4,1,0,0,,,0,0,-13
9,2,4,36,3,ACCELERATING,false,0,4,1,0,0,,,0,0,-13
10,2,4,39,3,ACCELERATING,false,0,4,1,0,0,,,0,0,-13
11,2,4,42,3,ACCELERATING,false,0,4,1,0,0,,,0,0,-13
12,2,4,45,3,ACCELERATING,false,0,4,1,0,0,,,0,0,-13
13,2,4,48,3,ACCELERATING,false,0,4,1,0,0,,,0,0,-13
14,2,4,51,3,ACCELERATING,false,0,4,1,0,0,,,0,0,-13
15,2,4,54,3,ACCELERATING,false,0,4,1,0,0,,,0,0,-13
16,2,4,57,3,ACCELERATING,false,0,4,1,0,0,,,0,0,-13
17,2,4,60,0,HIT_MUD,false,0,5,1,0,0,,,0,0,-16
18,2,4,60,0,FIXED_CAR,false,0,3,1,0,0,,,0,0,-16
19,2,4,63,3,ACCELERATING,false,0,3,1,0,1,,,0,0,-12
20,2,4,69,3,HIT_MUD,false,0,4,1,0,1,,,0,0,-15
21,2,4,72,3,ACCELERATING,false,0,4,1,0,1,,,0,0,-15
22,2,4,75,3,ACCELERATING,false,0,4,1,0,1,,,0,0,-15
23,2,4,78,3,ACCELERATING,false,0,4,1,0,1,,,0,0,-15
24,2,4,81,3,ACCELERATING,false,0,4,1,0,1,,,0,0,-15
25,2,4,84,3,ACCELERATING,false,0,4,1,0,1,,,0,0,-15
26,2,4,87,3,ACCELERATING,false,0,4,1,0,1,,,0,0,-15
27,2,4,90,0,HIT_WALL,false,0,5,1,0,2,,,0,0,-16
28,2,4,90,0,FIXED_CAR,false,0,3,1,0,2,,,0,0,-16
29,2,4,93,3,HIT_MUD,false,0,4,1,0,2,,,0,0,-19
30,2,4,96,3,ACCELERATING,false,0,4,1,0,2,,,0,0,-19
31,2,4,99,3,ACCELERATING,false,0,4,2,0,2,,,0,0,-15
32,2,4,102,3,ACCELERATING,false,0,4,2,0,2,,,0,1,-11
33,2,4,105,3,ACCELERATING,false,0,4,2,0,3,,,0,1,-7
34,2,4,108,3,ACCELERATING,false,0,4,2,0,3,,,0,1,-7
35,2,4,111,3,ACCELERATING,false,0,4,2,0,3,,,0,1,-7
36,2,4,114,3,ACCELERATING,false,0,4,2,0,3,,,0,1,-7
37,2,4,117,3,ACCELERATING,false,0,4,2,0,3,,,0,1,-7
38,2,4,120,3,ACCELERATING,false,0,4,2,0,3,,,0,1,-7
39,2,4,123,3,ACCELERATING,false,0,4,2,0,3,,,0,1,-7
40,2,4,126,0,HIT_MUD,false,0,5,2,0,3,,,0,1,-10
41,2,4,126,0,FIXED_CAR,false,0,3,2,0,3,,,0,1,-10
42,2,4,129,3,ACCELERATING,false,0,3,2,0,3,,,0,1,-10
43,2,4,135,6,ACCELERATING,false,0,3,2,0,3,,,0,1,-10
44,2,4,141,6,USED_LIZARD,false,0,3,2,0,2,,,0,1,-10
45,2,4,147,6,USED_BOOST,true,5,3,1,0,2,,,0,1,-6
46,2,4,153,6,USED_BOOST,true,5,3,0,0,2,,,0,1,-2
47,2,4,159,6,ACCELERATING,true,4,3,0,0,2,,,0,1,-2
48,2,4,165,6,ACCELERATING,true,3,3,0,0,2,,,0,1,-2
49,2,4,171,6,USED_LIZARD,true,2,3,0,0,1,,,0,1,-2
50,2,4,177,6,USED_LIZARD,true,1,3,0,0,0,,,0,1,-2
51,2,4,183,6,ACCELERATING,false,0,3,0,0,0,,,0,1,-2
52,2,4,189,6,ACCELERATING,false,0,3,0,0,0,,,0,1,-2
53,2,4,195,6,ACCELERATING,false,0,3,0,1,0,,,0,1,2
54,2,4,201,0,HIT_WALL,false,0,5,0,1,0,,,0,1,-6
55,2,4,201,0,FIXED_CAR,false,0,3,0,1,0,,,0,1,-6
56,2,4,204,3,ACCELERATING,false,0,3,0,1,0,,,0,1,-6
57,2,4,210,6,ACCELERATING,false,0,3,0,1,0,,,0,1,-6
58,2,4,216,3,HIT_MUD,false,0,4,0,1,0,,,0,1,-9
59,2,4,219,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-9
60,2,4,222,3,ACCELERATING,false,0,4,0,1,0,,,0,1,-9
61,2,4,225,3,ACCELERATING,false,0,4,0,1,1,,,0,1,-5
62,2,4,228,3,ACCELERATING,false,0,4,0,1,1,,,0,1,-5
63,2,4,231,3,ACCELERATING,false,0,4,0,1,1,,,0,1,-5
64,2,4,234,0,HIT_MUD,false,0,5,0,1,1,,,1,1,-4
65,2,4,234,0,FIXED_CAR,false,0,3,0,1,1,,,1,1,-4
66,2,4,237,3,ACCELERATING,false,0,3,0,1,1,,,1,1,-4
67,2,4,243,0,HIT_WALL,false,0,5,0,1,1,,,1,1,-9
68,2,4,243,0,FIXED_CAR,false,0,3,0,1,1,,,1,1,-9
69,2,4,246,3,ACCELERATING,false,0,3,0,2,1,,,1,1,-5
70,2,4,252,6,ACCELERATING,false,0,3,0,2,1,,,1,3,3
71,2,4,258,6,USED_LIZARD,false,0,3,0,2,0,,,1,3,3
72,2,4,264,6,ACCELERATING,false,0,3,0,2,0,,,1,3,3
73,2,4,270,6,ACCELERATING,false,0,3,0,2,0,,,1,3,3
74,2,4,276,6,ACCELERATING,false,0,3,0,2,0,,,1,3,3
75,2,4,282,6,ACCELERATING,false,0,3,0,2,0,,,1,3,3
76,2,4,288,6,ACCELERATING,false,0,3,0,2,0,,,1,3,3
77,2,4,294,6,ACCELERATING,false,0,3,0,2,0,,,1,3,3
78,2,4,300,6,ACCELERATING,false,0,3,1,2,0,,,1,3,7
79,2,4,306,6,USED_BOOST,true,5,3,0,2,0,,,1,3,11
80,2,4,312,6,ACCELERATING,true,4,3,0,2,0,,,1,3,11
81,2,4,318,3,HIT_MUD,false,0,4,0,2,0,,,1,4,12
82,2,4,321,3,ACCELERATING,false,0,4,0,3,0,,,1,4,16
83,2,4,324,3,ACCELERATING,false,0,4,0,3,0,,,1,4,16
84,2,4,327,3,ACCELERATING,false,0,4,0,3,0,,,1,4,16
85,2,4,330,0,HIT_MUD,false,0,5,0,3,0,,,2,4,17
86,2,4,330,0,FIXED_CAR,false,0,3,0,3,0,,,2,4,17
87,2,4,333,3,HIT_MUD,false,0,4,0,3,0,,,2,4,14
88,2,4,336,3,ACCELERATING,false,0,4,0,3,0,,,2,4,14
89,2,4,339,3,ACCELERATING,false,0,4,0,3,0,,,2,4,14
90,2,4,342,3,ACCELERATING,false,0,4,0,3,0,,,2,4,14
91,2,4,345,3,ACCELERATING,false,0,4,0,3,0,,,2,4,14
92,2,4,348,3,ACCELERATING,false,0,4,0,3,0,,,2,4,14
93,2,4,351,3,ACCELERATING,false,0,4,1,3,0,,,2,4,18
94,2,4,354,3,ACCELERATING,false,0,4,1,3,0,,,2,4,18
95,2,4,357,3,ACCELERATING,false,0,4,1,4,0,,,2,4,22
96,2,4,360,3,ACCELERATING,false,0,4,1,4,0,,,2,4,22
97,2,4,363,3,ACCELERATING,false,0,4,1,4,0,,,2,4,22
98,2,4,366,3,ACCELERATING,false,0,4,1,4,1,,,2,4,26
99,2,4,369,3,ACCELERATING,false,0,4,1,4,1,,,2,4,26
100,2,4,372,3,ACCELERATING,false,0,4,1,4,1,,,2,4,26
101,2,4,375,3,ACCELERATING,false,0,4,1,4,1,,,2,4,26
102,2,4,378,3,ACCELERATING,false,0,4,1,4,1,,,2,4,26
103,2,4,381,3,ACCELERATING,false,0,4,1,4,1,,,2,4,26
104,2,4,384,3,ACCELERATING,false,0,4,1,4,1,,,2,4,26
105,2,4,387,0,HIT_WALL,false,0,5,1,4,1,,,2,4,21
106,2,4,387,0,FIXED_CAR,false,0,3,1,4,1,,,2,4,21
107,2,4,390,3,ACCELERATING,false,0,3,1,4,1,,,2,4,21
108,2,4,396,6,ACCELERATING,false,0,3,1,4,1,,,2,4,21
109,2,4,402,6,USED_BOOST,true,5,3,0,4,1,,,2,4,25
110,2,4,408,0,HIT_WALL,false,0,5,0,4,2,,,2,4,24
111,2,4,408,0,FIXED_CAR,false,0,3,0,4,2,,,2,4,24
112,2,4,411,3,ACCELERATING,false,0,3,0,4,2,,,2,4,24
113,2,4,417,3,HIT_MUD,false,0,4,0,4,2,,,2,4,21
114,2,4,420,3,ACCELERATING,false,0,4,0,4,2,,,2,4,21
115,2,4,423,3,ACCELERATING,false,0,4,0,4,2,,,2,4,21
116,2,4,426,3,ACCELERATING,false,0,4,1,4,2,,,2,4,25
117,2,4,429,3,ACCELERATING,false,0,4,1,4,2,,,2,4,25
118,2,4,432,3,ACCELERATING,false,0,4,1,4,2,,,2,4,25
119,2,4,435,0,HIT_WALL,false,0,5,1,4,2,,,2,4,20
120,2,4,435,0,FIXED_CAR,false,0,3,1,4,2,,,2,4,20
121,2,4,438,3,ACCELERATING,false,0,3,1,4,2,,,2,4,20
122,2,4,444,6,ACCELERATING,false,0,3,1,4,2,,,2,5,24
123,2,4,450,6,USED_LIZARD,false,0,3,1,4,1,,,2,5,24
124,2,4,456,6,USED_LIZARD,false,0,3,1,4,0,,,2,5,24
125,2,4,462,6,USED_BOOST,true,5,3,0,4,0,,,2,6,32
126,2,4,468,6,ACCELERATING,true,4,3,0,4,0,,,2,6,32
127,2,4,474,6,ACCELERATING,true,3,3,0,4,0,,,2,6,32
128,2,4,480,3,HIT_MUD,false,0,4,0,5,0,,,2,6,33
129,2,4,483,3,ACCELERATING,false,0,4,0,5,0,,,2,6,33
130,2,4,486,3,ACCELERATING,false,0,4,0,5,0,,,2,6,33
131,2,4,489,3,ACCELERATING,false,0,4,0,6,0,,,2,6,37
132,2,4,492,3,ACCELERATING,false,0,4,0,6,0,,,2,6,37
133,2,4,495,3,ACCELERATING,false,0,4,0,6,0,,,2,6,37
134,2,4,498,3,ACCELERATING,false,0,4,0,6,0,,,2,6,37
135,2,4,501,0,HIT_MUD,false,0,5,0,6,0,,,2,6,34
136,2,4,501,0,FIXED_CAR,false,0,3,0,6,0,,,2,6,34
