Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,1,0,0,,,0,0,4
4,1,1,24,9,ACCELERATING,false,0,0,1,0,0,,,0,0,4
5,1,2,32,9,TURNING_RIGHT,false,0,0,1,0,0,,,0,0,4
6,1,2,41,9,NOTHING,false,0,0,2,0,1,,,0,0,12
7,1,2,50,9,NOTHING,false,0,0,2,0,1,,,0,1,16
8,1,2,59,9,NOTHING,false,0,0,2,0,1,,,0,1,16
9,1,3,67,8,HIT_MUD,false,0,1,2,1,1,,,0,1,17
10,1,4,74,8,TURNING_RIGHT,false,0,1,3,1,1,,,1,1,25
11,1,3,81,8,TURNING_LEFT,false,0,1,3,1,1,,,1,1,25
12,1,3,90,9,ACCELERATING,false,0,1,4,1,1,,,1,1,29
13,1,4,98,6,HIT_MUD,false,0,3,4,1,1,,,1,1,23
14,1,4,104,3,HIT_MUD,false,0,4,4,1,1,,,1,2,24
15,1,3,106,3,TURNING_LEFT,false,0,4,4,1,1,,,1,2,24
16,1,3,109,3,ACCELERATING,false,0,4,4,1,1,,,1,2,24
17,1,3,112,3,ACCELERATING,false,0,4,4,1,1,,,1,2,24
18,1,2,114,0,HIT_MUD,false,0,5,4,1,1,,,1,2,21
19,1,2,114,0,ACCELERATING,false,0,5,4,1,1,,,1,2,21
20,1,2,114,0,ACCELERATING,false,0,5,4,1,1,,,1,2,21
21,1,2,114,0,ACCELERATING,false,0,5,4,1,1,,,1,2,21
22,1,2,114,0,ACCELERATING,false,0,5,4,1,1,,,1,2,21
23,1,2,114,0,ACCELERATING,false,0,5,4,1,1,,,1,2,21
24,1,2,114,0,ACCELERATING,false,0,5,4,1,1,,,1,2,21
25,1,2,114,0,ACCELERATING,false,0,5,4,1,1,,,1,2,21
26,1,2,114,0,ACCELERATING,false,0,5,4,1,1,,,1,2,21
27,1,2,114,0,ACCELERATING,false,0,5,4,1,1,,,1,2,21
28,1,2,114,0,ACCELERATING,false,0,5,4,1,1,,,1,2,21
29,1,2,114,0,ACCELERATING,false,0,5,4,1,1,,,1,2,21
30,1,2,114,0,ACCELERATING,false,0,5,4,1,1,,,1,2,21
31,1,2,114,0,ACCELERATING,false,0,5,4,1,1,,,1,2,21
