Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,6,5,NOTHING,false,0,0,0,0,0,,,0,0,0
3,1,1,11,3,HIT_MUD,false,0,2,0,0,0,,,0,0,-6
4,1,1,14,3,NOTHING,false,0,2,0,0,1,,,0,0,-2
5,1,1,17,3,NOTHING,false,0,2,0,0,1,,,0,0,-2
6,1,1,20,3,NOTHING,false,0,2,0,0,1,,,1,0,2
7,1,1,23,3,NOTHING,false,0,2,1,0,1,,,1,0,6
8,1,1,26,0,HIT_MUD,false,0,5,1,0,1,,,1,0,-3
9,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
10,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
11,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
12,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
13,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
14,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
15,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
16,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
17,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
18,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
19,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
20,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
21,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
22,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
23,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
24,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
25,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
26,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
27,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
28,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
29,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
30,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
31,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
32,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
33,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
34,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
35,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
36,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
37,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
38,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
39,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
40,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
41,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
42,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
43,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
44,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
45,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
46,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
47,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
48,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
49,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
50,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
51,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
52,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
53,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
54,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
55,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
56,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
57,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
58,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
59,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
60,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
61,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
62,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
63,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
64,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
65,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
66,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
67,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
68,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
69,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
70,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
71,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
72,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
73,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
74,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
75,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
76,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
77,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
78,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
79,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
80,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
81,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
82,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
83,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
84,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
85,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
86,1,1,26,0,NOTHING,false,0,5,1,0,1,,,1,0,-3
